time,cars,wait,queue
0,1,0.0,1
1,1,0.0,0
2,1,0.0,0
3,1,0.0,0
4,1,0.0,0
5,1,0.0,0
6,1,0.0,0
7,1,0.0,0
8,1,0.0,0
9,1,0.0,0
10,1,0.0,0
11,1,0.0,0
12,3,0.0,2
13,4,0.0,1
14,4,0.0,0
15,4,0.0,0
16,5,0.0,1
17,6,0.0,1
18,6,0.0,0
19,6,0.0,0
20,6,1.0,1
21,7,0.0,1
22,9,0.0,2
23,9,0.0,0
24,9,0.0,0
25,9,0.0,0
26,10,0.0,1
27,11,0.0,1
28,13,0.0,2
29,13,1.0,1
30,13,3.0,2
31,15,5.0,4
32,15,7.0,2
33,15,10.0,3
34,15,13.0,3
35,15,16.0,3
36,17,4.0,3
37,16,0.0,0
38,16,0.0,0
39,15,1.0,1
40,17,3.0,3
41,17,5.0,1
42,17,9.0,3
43,17,14.0,4
44,17,19.0,4
45,18,26.0,7
46,18,33.0,7
47,18,40.0,6
48,18,48.0,7
49,18,56.0,7
50,19,64.0,8
51,19,40.0,5
52,19,25.0,5
53,19,12.0,3
54,19,3.0,3
55,20,5.0,3
56,20,8.0,4
57,20,13.0,4
58,19,19.0,5
59,20,26.0,7
60,20,34.0,7
61,21,43.0,9
62,22,53.0,10
63,24,64.0,12
64,24,65.0,10
65,24,65.0,9
66,24,44.0,8
67,25,35.0,9
68,25,25.0,6
69,25,14.0,5
70,24,10.0,4
71,25,11.0,6
72,27,17.0,8
73,27,18.0,5
74,27,23.0,6
75,27,29.0,6
76,28,36.0,8
77,30,44.0,10
78,30,54.0,10
79,29,64.0,10
80,29,75.0,11
81,30,64.0,11
82,29,55.0,8
83,28,50.0,7
84,28,46.0,9
85,27,43.0,8
86,27,41.0,8
87,25,38.0,7
88,24,34.0,6
89,25,32.0,8
90,25,39.0,8
91,25,35.0,6
92,25,32.0,5
93,26,30.0,6
94,27,36.0,7
95,27,40.0,5
96,27,20.0,3
97,27,5.0,2
98,27,2.0,3
99,27,1.0,2
100,26,1.0,1
101,26,2.0,1
102,25,4.0,3
103,25,6.0,3
104,24,9.0,3
105,24,13.0,4
106,24,17.0,5
107,25,23.0,6
108,27,31.0,9
109,26,40.0,8
110,27,50.0,10
111,27,49.0,9
112,28,49.0,10
113,30,42.0,10
114,30,36.0,8
115,29,40.0,9
116,29,35.0,7
117,29,32.0,9
118,29,25.0,7
119,29,22.0,8
120,29,21.0,6
121,29,24.0,8
122,29,29.0,8
123,30,36.0,9
124,31,43.0,9
125,31,53.0,10
126,32,42.0,9
127,33,29.0,7
128,33,21.0,6
129,33,15.0,5
130,33,13.0,4
131,34,12.0,5
132,33,15.0,6
133,33,20.0,6
134,33,28.0,7
135,33,38.0,9
136,34,49.0,12
137,34,61.0,12
138,34,74.0,12
139,34,90.0,15
140,34,107.0,16
141,35,98.0,15
142,35,87.0,16
143,36,78.0,15
144,36,73.0,16
145,36,68.0,14
146,36,64.0,15
147,37,61.0,14
148,36,70.0,15
149,37,67.0,15
150,37,66.0,13
151,37,72.0,14
152,38,70.0,14
153,38,71.0,13
154,38,82.0,13
155,38,94.0,13
156,40,85.0,15
157,40,66.0,14
158,39,51.0,11
159,39,41.0,9
160,39,30.0,10
161,39,29.0,10
162,39,39.0,11
163,39,42.0,12
164,39,45.0,11
165,38,51.0,13
166,40,59.0,15
167,41,68.0,15
168,41,78.0,15
169,41,96.0,17
170,42,116.0,20
171,44,115.0,21
172,43,104.0,20
173,44,92.0,18
174,44,81.0,15
175,46,73.0,19
176,46,85.0,19
177,45,78.0,19
178,45,71.0,19
179,45,67.0,16
180,45,71.0,17
181,45,74.0,15
182,45,77.0,14
183,45,82.0,14
184,45,89.0,14
185,45,103.0,14
186,45,83.0,13
187,44,72.0,11
188,44,59.0,9
189,43,50.0,10
190,45,51.0,13
191,45,56.0,13
192,44,50.0,14
193,43,48.0,15
194,42,52.0,16
195,42,57.0,17
196,42,62.0,14
197,42,76.0,14
198,42,78.0,13
199,42,92.0,14
200,44,107.0,16
201,44,99.0,14
202,43,91.0,14
203,43,79.0,13
204,42,65.0,12
205,44,53.0,13
206,43,39.0,10
207,42,35.0,10
208,42,46.0,12
209,42,46.0,13
210,43,47.0,13
211,43,52.0,12
212,43,63.0,15
213,43,76.0,15
214,44,93.0,18
215,46,110.0,20
216,46,109.0,19
217,46,109.0,18
218,47,97.0,20
219,47,85.0,19
220,48,78.0,20
221,49,68.0,16
222,48,74.0,18
223,49,67.0,18
224,49,62.0,17
225,48,57.0,15
226,48,70.0,16
227,48,70.0,16
228,48,74.0,16
229,48,78.0,15
230,48,86.0,15
231,49,71.0,14
232,49,65.0,13
233,49,61.0,13
234,48,58.0,14
235,48,57.0,15
236,48,55.0,14
237,46,56.0,16
238,46,56.0,15
239,45,67.0,16
240,44,74.0,15
241,44,75.0,14
242,45,79.0,17
243,45,82.0,14
244,45,99.0,16
245,45,118.0,18
246,45,111.0,18
247,46,100.0,22
248,46,91.0,18
249,46,84.0,18
250,45,74.0,15
251,45,66.0,15
252,46,55.0,15
253,47,48.0,16
254,46,42.0,13
255,45,53.0,16
256,45,47.0,11
257,46,50.0,12
258,47,57.0,13
259,47,70.0,13
260,47,82.0,13
261,47,74.0,13
262,46,65.0,12
263,47,61.0,14
264,48,56.0,14
265,48,48.0,12
266,47,42.0,11
267,47,45.0,13
268,48,45.0,15
269,46,54.0,14
270,46,58.0,15
271,46,66.0,17
272,47,75.0,16
273,47,93.0,17
