time,cars,wait,queue
0,1,0.0,1
1,2,0.0,1
2,2,0.0,0
3,2,0.0,0
4,2,0.0,0
5,2,0.0,0
6,2,0.0,0
7,2,0.0,0
8,2,0.0,0
9,3,0.0,1
10,3,0.0,0
11,3,0.0,0
12,3,0.0,0
13,3,0.0,0
14,3,0.0,0
15,3,0.0,0
16,3,0.0,0
17,3,1.0,1
18,5,3.0,4
19,5,5.0,2
20,6,7.0,3
21,6,9.0,2
22,6,11.0,2
23,6,13.0,2
24,7,15.0,3
25,9,17.0,4
26,10,19.0,3
27,10,22.0,3
28,11,25.0,4
29,11,29.0,4
30,13,31.0,5
31,13,5.0,1
32,13,0.0,0
33,14,0.0,1
34,15,0.0,1
35,15,0.0,0
36,15,2.0,1
37,15,5.0,2
38,15,8.0,2
39,16,11.0,3
40,16,14.0,2
41,16,18.0,3
42,16,22.0,3
43,17,28.0,6
44,17,34.0,5
45,17,41.0,6
46,17,48.0,6
47,16,43.0,6
48,17,38.0,8
49,17,35.0,5
50,18,36.0,7
51,17,42.0,6
52,18,48.0,7
53,17,55.0,7
54,18,62.0,9
55,18,69.0,7
56,20,76.0,9
57,20,83.0,7
58,21,91.0,9
59,22,99.0,9
60,22,108.0,9
61,22,72.0,7
62,23,44.0,6
63,23,21.0,4
64,23,12.0,2
65,22,8.0,4
66,24,4.0,4
67,24,4.0,2
68,25,4.0,2
69,25,6.0,2
70,25,8.0,1
71,26,11.0,3
72,26,15.0,3
73,26,21.0,5
74,26,27.0,5
75,26,34.0,6
76,26,42.0,7
77,24,52.0,9
78,25,62.0,10
79,25,73.0,11
80,25,85.0,11
81,25,97.0,11
82,24,110.0,12
83,24,124.0,14
84,25,138.0,14
85,24,152.0,13
86,24,167.0,15
87,24,182.0,14
88,25,177.0,15
89,24,172.0,13
90,24,167.0,12
91,24,116.0,11
92,24,75.0,9
93,24,38.0,7
94,24,19.0,4
95,23,10.0,3
96,25,9.0,6
97,26,12.0,5
98,26,16.0,4
99,26,21.0,5
100,26,27.0,6
101,28,34.0,9
102,29,42.0,9
103,28,51.0,9
104,28,61.0,9
105,29,71.0,10
106,30,80.0,12
107,29,88.0,11
108,29,98.0,10
109,28,108.0,10
110,26,118.0,10
111,27,129.0,12
112,28,140.0,13
113,28,152.0,12
114,27,164.0,12
115,27,177.0,12
116,28,190.0,13
117,29,205.0,15
118,29,220.0,14
119,29,235.0,14
120,29,250.0,14
121,29,213.0,13
122,29,198.0,11
123,28,173.0,10
124,28,151.0,11
125,29,136.0,13
126,29,119.0,9
127,28,126.0,10
128,28,107.0,12
129,27,89.0,10
130,28,77.0,13
131,28,85.0,12
132,28,75.0,11
133,28,63.0,10
134,28,57.0,11
135,31,67.0,14
136,31,76.0,10
137,31,86.0,10
138,30,96.0,10
139,31,108.0,13
140,32,121.0,14
141,32,132.0,12
142,32,145.0,14
143,32,158.0,14
144,33,172.0,16
145,33,187.0,15
146,32,202.0,15
147,33,217.0,16
148,32,233.0,16
149,34,250.0,19
150,35,267.0,18
151,35,235.0,18
152,35,202.0,17
153,34,169.0,14
154,34,138.0,14
155,35,110.0,13
156,35,88.0,13
157,36,91.0,13
158,36,77.0,12
159,35,68.0,11
160,36,60.0,10
161,37,57.0,11
162,37,55.0,8
163,37,55.0,8
164,37,64.0,8
165,37,74.0,9
166,39,86.0,13
167,38,98.0,12
168,38,112.0,13
169,37,128.0,16
170,38,145.0,17
171,38,163.0,18
172,38,183.0,19
173,39,204.0,22
174,39,227.0,21
175,40,251.0,24
176,40,277.0,24
177,39,289.0,26
178,40,296.0,27
179,40,305.0,28
180,41,313.0,27
181,41,263.0,23
182,41,233.0,21
183,43,199.0,23
184,43,166.0,19
185,43,140.0,19
186,43,117.0,17
187,43,101.0,17
188,44,110.0,19
189,44,112.0,18
190,44,102.0,19
191,44,99.0,20
192,44,107.0,20
193,44,117.0,21
194,43,136.0,21
195,44,157.0,24
196,44,180.0,24
197,44,206.0,26
198,45,230.0,27
199,46,254.0,27
200,46,283.0,28
201,46,313.0,29
202,48,344.0,32
203,49,376.0,32
204,49,408.0,31
205,49,441.0,32
206,48,476.0,34
207,48,512.0,36
208,48,549.0,36
209,47,586.0,36
210,47,623.0,36
211,46,600.0,34
212,47,552.0,33
213,46,505.0,31
214,46,457.0,28
215,45,407.0,26
216,46,386.0,27
217,45,360.0,24
218,44,307.0,22
219,44,257.0,20
220,44,228.0,19
221,45,200.0,18
222,45,153.0,15
223,45,134.0,15
224,45,106.0,13
225,45,84.0,12
226,46,100.0,16
227,46,116.0,16
228,45,135.0,18
229,45,154.0,18
230,46,175.0,21
231,47,199.0,25
232,47,225.0,25
233,46,252.0,26
234,46,280.0,27
235,47,309.0,29
236,49,339.0,31
237,49,370.0,30
238,49,402.0,31
239,49,435.0,32
240,49,469.0,34
241,49,430.0,32
242,49,392.0,30
243,48,354.0,28
244,48,316.0,27
245,49,306.0,28
246,48,271.0,24
247,48,239.0,23
248,46,240.0,23
249,46,232.0,23
250,47,201.0,21
251,47,171.0,19
252,47,144.0,17
253,47,125.0,17
254,48,96.0,15
255,48,111.0,15
256,46,126.0,15
257,47,143.0,18
258,47,163.0,19
259,48,183.0,22
260,47,205.0,21
261,47,229.0,23
262,45,253.0,24
263,45,278.0,26
264,45,307.0,29
265,45,337.0,29
266,44,367.0,29
267,45,398.0,31
268,44,431.0,32
269,44,465.0,33
270,43,499.0,33
271,44,459.0,32
272,44,423.0,30
273,44,387.0,29
274,44,351.0,27
275,44,311.0,23
276,44,281.0,24
277,44,239.0,19
278,44,222.0,19
279,44,184.0,17
280,45,145.0,17
281,44,118.0,14
282,44,83.0,12
283,44,64.0,11
284,45,70.0,12
285,45,77.0,11
286,45,90.0,12
287,44,104.0,13
288,44,120.0,15
289,45,139.0,19
290,45,160.0,20
291,43,181.0,20
292,43,205.0,23
293,44,230.0,27
294,44,256.0,25
295,44,283.0,26
296,43,311.0,27
297,44,339.0,29
298,44,368.0,28
299,44,399.0,31
300,44,430.0,30
301,44,408.0,31
302,45,366.0,29
303,45,326.0,25
304,44,289.0,23
305,43,254.0,22
306,44,222.0,22
307,43,204.0,22
308,43,185.0,20
309,43,175.0,20
310,43,154.0,17
311,44,122.0,16
312,44,90.0,14
313,44,73.0,12
314,44,72.0,12
315,45,65.0,11
316,45,73.0,12
317,45,85.0,13
318,44,97.0,13
319,44,111.0,14
320,46,126.0,17
321,46,142.0,17
322,45,159.0,17
323,44,177.0,18
324,45,196.0,21
325,45,215.0,19
326,44,235.0,19
327,42,257.0,21
328,42,280.0,22
329,41,303.0,23
330,41,327.0,23
331,40,300.0,23
