episode,reward,epsilon
75,-17079.0,0.6832098777212641
76,-18539.0,0.6797938283326578
77,-15941.0,0.6763948591909945
78,-18187.0,0.6730128848950395
79,-16497.0,0.6696478204705644
80,-16906.0,0.6662995813682115
81,-17798.0,0.6629680834613705
82,-16543.0,0.6596532430440636
83,-17450.0,0.6563549768288433
84,-16768.0,0.653073201944699
85,-18349.0,0.6498078359349755
86,-17302.0,0.6465587967553006
87,-16289.0,0.6433260027715241
88,-15954.0,0.6401093727576664
89,-17261.0,0.6369088258938781
90,-18234.0,0.6337242817644086
91,-17304.0,0.6305556603555866
92,-16914.0,0.6274028820538087
93,-17077.0,0.6242658676435396
94,-16291.0,0.6211445383053219
95,-17703.0,0.6180388156137953
96,-16515.0,0.6149486215357263
97,-17192.0,0.6118738784280476
98,-16616.0,0.6088145090359074
99,-18267.0,0.6057704364907278
100,-19227.0,0.6027415843082742
101,-14336.0,0.5997278763867329
102,-15590.0,0.5967292370047992
103,-16233.0,0.5937455908197752
104,-17487.0,0.5907768628656763
105,-16016.0,0.5878229785513479
106,-15362.0,0.5848838636585911
107,-15746.0,0.5819594443402982
108,-17402.0,0.5790496471185967
109,-18389.0,0.5761543988830038
110,-16070.0,0.5732736268885887
111,-15451.0,0.5704072587541458
112,-16571.0,0.567555222460375
113,-17399.0,0.5647174463480732
114,-16279.0,0.5618938591163328
115,-17949.0,0.5590843898207511
116,-14239.0,0.5562889678716474
117,-16068.0,0.5535075230322891
118,-16558.0,0.5507399854171277
119,-17493.0,0.547986285490042
120,-16518.0,0.5452463540625918
121,-16872.0,0.5425201222922789
122,-17164.0,0.5398075216808175
123,-17222.0,0.5371084840724134
124,-16645.0,0.5344229416520513
125,-17651.0,0.531750826943791
126,-16857.0,0.5290920728090721
127,-16302.0,0.5264466124450268
128,-16873.0,0.5238143793828016
129,-15303.0,0.5211953074858876
130,-16462.0,0.5185893309484582
131,-18220.0,0.5159963842937159
132,-16339.0,0.5134164023722473
133,-16306.0,0.510849320360386
134,-16052.0,0.5082950737585841
135,-14488.0,0.5057535983897912
136,-18540.0,0.5032248303978422
137,-14871.0,0.500708706245853
138,-16112.0,0.4982051627146237
139,-16425.0,0.49571413690105054
140,-16563.0,0.4932355662165453
141,-15850.0,0.4907693883854626
142,-15052.0,0.4883155414435353
143,-15837.0,0.4858739637363176
144,-15180.0,0.483444593917636
145,-14858.0,0.4810273709480478
146,-16018.0,0.47862223409330756
147,-17636.0,0.47622912292284103
148,-18130.0,0.4738479773082268
149,-14660.0,0.47147873742168567
150,-15002.0,0.46912134373457726
151,-18305.0,0.46677573701590436
152,-16860.0,0.46444185833082485
153,-18161.0,0.46211964903917074
154,-17522.0,0.4598090507939749
155,-16612.0,0.457510005540005
156,-16418.0,0.45522245551230495
157,-17001.0,0.4529463432347434
158,-15916.0,0.4506816115185697
159,-17754.0,0.4484282034609769
160,-16830.0,0.446186062443672
161,-15885.0,0.4439551321314536
162,-16582.0,0.4417353564707963
163,-16030.0,0.43952667968844233
164,-15814.0,0.43732904629000013
165,-15667.0,0.4351424010585501
166,-18424.0,0.43296668905325736
167,-17137.0,0.43080185560799106
168,-15238.0,0.4286478463299511
169,-17418.0,0.42650460709830135
170,-15119.0,0.42437208406280985
171,-18356.0,0.4222502236424958
172,-17912.0,0.42013897252428334
173,-16381.0,0.4180382776616619
174,-16180.0,0.4159480862733536
175,-15597.0,0.41386834584198684
176,-17079.0,0.4117990041127769
177,-19333.0,0.40974000909221303
178,-17354.0,0.40769130904675194
179,-15518.0,0.40565285250151817
180,-16941.0,0.4036245882390106
181,-16129.0,0.4016064652978155
182,-16099.0,0.3995984329713264
183,-17144.0,0.3976004408064698
184,-19180.0,0.39561243860243744
185,-15238.0,0.3936343764094253
186,-13883.0,0.39166620452737816
187,-16770.0,0.3897078735047413
188,-17094.0,0.3877593341372176
189,-16201.0,0.3858205374665315
190,-14170.0,0.38389143477919885
191,-16340.0,0.3819719776053028
192,-16295.0,0.3800621177172763
193,-16144.0,0.37816180712868996
194,-18124.0,0.37627099809304654
195,-15457.0,0.3743896431025813
196,-15552.0,0.37251769488706843
197,-15495.0,0.3706551064126331
198,-15654.0,0.36880183088056995
199,-15249.0,0.3669578217261671
