episode,reward,epsilon
0,-21045.0,0.995
1,-22203.0,0.990025
2,-17222.0,0.985074875
3,-17123.0,0.9801495006250001
4,-18085.0,0.9752487531218751
5,-19923.0,0.9703725093562657
6,-21516.0,0.9655206468094844
7,-17970.0,0.960693043575437
8,-15689.0,0.9558895783575597
9,-19100.0,0.9511101304657719
10,-19131.0,0.946354579813443
11,-18144.0,0.9416228069143757
12,-17937.0,0.9369146928798039
13,-17847.0,0.9322301194154049
14,-18437.0,0.9275689688183278
15,-17770.0,0.9229311239742362
16,-17341.0,0.918316468354365
17,-18902.0,0.9137248860125932
18,-16826.0,0.9091562615825302
19,-20284.0,0.9046104802746175
20,-17213.0,0.9000874278732445
21,-19124.0,0.8955869907338783
22,-16594.0,0.8911090557802088
23,-17152.0,0.8866535105013078
24,-18317.0,0.8822202429488013
25,-20131.0,0.8778091417340573
26,-19439.0,0.8734200960253871
27,-17408.0,0.8690529955452602
28,-20119.0,0.8647077305675338
29,-18068.0,0.8603841919146962
30,-18563.0,0.8560822709551227
31,-19051.0,0.851801859600347
32,-17014.0,0.8475428503023453
33,-17437.0,0.8433051360508336
34,-16900.0,0.8390886103705794
35,-18778.0,0.8348931673187264
36,-16986.0,0.8307187014821328
37,-17908.0,0.8265651079747222
38,-20844.0,0.8224322824348486
39,-18856.0,0.8183201210226743
40,-19188.0,0.8142285204175609
41,-17583.0,0.810157377815473
42,-18122.0,0.8061065909263957
43,-18732.0,0.8020760579717637
44,-17021.0,0.798065677681905
45,-18288.0,0.7940753492934954
46,-17424.0,0.7901049725470279
47,-16594.0,0.7861544476842928
48,-18804.0,0.7822236754458713
49,-17191.0,0.778312557068642
50,-16269.0,0.7744209942832988
51,-18407.0,0.7705488893118823
52,-16664.0,0.7666961448653229
53,-19667.0,0.7628626641409962
54,-17830.0,0.7590483508202912
55,-16915.0,0.7552531090661897
56,-17432.0,0.7514768435208588
57,-18291.0,0.7477194593032545
58,-16608.0,0.7439808620067382
59,-16884.0,0.7402609576967045
60,-17639.0,0.736559652908221
61,-16019.0,0.7328768546436799
62,-17867.0,0.7292124703704616
63,-17725.0,0.7255664080186093
64,-17729.0,0.7219385759785162
65,-16717.0,0.7183288830986236
66,-16500.0,0.7147372386831305
67,-17206.0,0.7111635524897149
68,-17718.0,0.7076077347272662
69,-17614.0,0.7040696960536299
70,-16999.0,0.7005493475733617
71,-18291.0,0.697046600835495
72,-15502.0,0.6935613678313175
73,-17069.0,0.6900935609921609
74,-19876.0,0.6866430931872001
