time,cars,wait,queue
0,3,0.0,3
1,3,0.0,0
2,3,0.0,0
3,3,0.0,0
4,4,0.0,1
5,4,1.0,1
6,4,0.0,0
7,4,0.0,0
8,4,0.0,0
9,6,0.0,2
10,6,0.0,0
11,7,0.0,1
12,7,0.0,0
13,8,0.0,1
14,8,0.0,0
15,8,0.0,0
16,10,0.0,2
17,10,0.0,0
18,10,2.0,1
19,10,0.0,0
20,12,0.0,2
21,12,0.0,0
22,12,0.0,0
23,11,0.0,0
24,11,0.0,0
25,11,0.0,0
26,12,1.0,2
27,12,2.0,1
28,13,4.0,3
29,13,6.0,2
30,13,8.0,2
31,14,11.0,4
32,15,14.0,4
33,17,18.0,6
34,16,6.0,2
35,17,0.0,1
36,17,0.0,0
37,17,1.0,0
38,17,3.0,1
39,16,5.0,1
40,17,7.0,3
41,17,11.0,2
42,16,9.0,3
43,16,10.0,2
44,16,14.0,3
45,19,19.0,7
46,20,24.0,5
47,20,29.0,4
48,20,36.0,6
49,20,27.0,6
50,20,28.0,3
51,20,22.0,4
52,20,17.0,4
53,20,12.0,4
54,21,7.0,4
55,22,8.0,4
56,22,11.0,3
57,21,16.0,5
58,22,21.0,6
59,22,27.0,6
60,22,34.0,8
61,22,43.0,9
62,22,52.0,9
63,24,61.0,11
64,24,46.0,7
65,23,32.0,5
66,23,20.0,4
67,24,10.0,4
68,25,7.0,4
69,26,10.0,4
70,25,14.0,3
71,23,20.0,4
72,24,27.0,6
73,25,30.0,9
74,24,37.0,9
75,24,41.0,8
76,24,46.0,7
77,25,54.0,8
78,25,64.0,9
79,25,60.0,8
80,26,57.0,10
81,26,44.0,9
82,28,35.0,10
83,28,29.0,7
84,29,27.0,6
85,29,37.0,8
86,31,39.0,10
87,31,42.0,8
88,31,48.0,12
89,32,61.0,12
90,31,77.0,14
91,32,83.0,14
92,33,81.0,16
93,33,84.0,15
94,35,68.0,16
95,35,54.0,12
96,36,41.0,11
97,35,30.0,10
98,36,24.0,9
99,38,26.0,10
100,39,32.0,11
101,39,30.0,9
102,39,36.0,10
103,41,44.0,11
104,42,54.0,11
105,42,63.0,10
106,41,76.0,12
107,42,89.0,13
108,42,104.0,15
109,42,90.0,15
110,42,76.0,13
111,42,63.0,13
112,41,51.0,11
113,41,43.0,10
114,40,45.0,11
115,40,42.0,9
116,41,42.0,11
117,41,52.0,11
118,42,54.0,12
