time,cars,wait,queue
0,0,0.0,0
1,1,0.0,1
2,2,0.0,1
3,2,0.0,0
4,2,0.0,0
5,2,0.0,0
6,3,0.0,1
7,3,1.0,1
8,3,0.0,0
9,3,0.0,0
10,3,0.0,0
11,4,0.0,1
12,6,0.0,2
13,6,0.0,0
14,6,0.0,0
15,7,0.0,1
16,8,1.0,2
17,8,1.0,1
18,8,0.0,0
19,8,0.0,0
20,8,0.0,0
21,8,0.0,0
22,10,0.0,2
23,10,0.0,1
24,10,0.0,0
25,11,0.0,1
26,11,0.0,0
27,11,0.0,1
28,12,0.0,1
29,12,1.0,1
30,13,3.0,3
31,14,5.0,3
32,14,7.0,2
33,14,1.0,2
34,14,0.0,0
35,16,0.0,2
36,16,0.0,1
37,17,1.0,1
38,17,2.0,0
39,17,5.0,2
40,17,9.0,3
41,17,14.0,5
42,17,19.0,4
43,18,24.0,5
44,18,30.0,5
45,18,37.0,6
46,19,44.0,7
47,20,52.0,8
48,20,29.0,5
49,20,12.0,2
50,21,2.0,3
51,22,1.0,2
52,22,1.0,1
53,21,3.0,3
54,22,6.0,4
55,22,10.0,4
56,23,14.0,5
57,22,19.0,5
58,23,24.0,6
59,24,30.0,6
60,25,36.0,6
61,25,43.0,6
62,25,51.0,7
63,26,38.0,7
64,26,28.0,7
65,26,20.0,6
66,27,12.0,5
67,26,10.0,4
68,28,14.0,6
69,27,21.0,6
70,26,30.0,8
71,27,40.0,10
72,27,50.0,10
73,28,61.0,11
74,28,73.0,11
75,28,86.0,12
76,29,100.0,14
77,30,117.0,17
78,30,107.0,13
79,30,86.0,14
80,31,75.0,15
81,31,67.0,14
82,31,54.0,10
83,30,46.0,11
84,31,42.0,11
85,31,55.0,13
86,32,52.0,12
87,32,53.0,13
88,33,57.0,12
89,34,64.0,13
90,34,76.0,13
91,36,81.0,17
92,36,87.0,15
93,36,79.0,14
94,37,64.0,14
95,38,53.0,14
96,37,44.0,11
97,37,43.0,12
98,37,45.0,13
99,38,53.0,16
100,38,56.0,15
101,38,59.0,14
102,38,63.0,14
103,38,68.0,14
104,39,74.0,15
105,39,83.0,15
106,38,100.0,16
107,38,119.0,18
108,40,105.0,19
109,40,93.0,15
110,41,86.0,17
111,40,78.0,15
112,39,79.0,14
113,40,71.0,14
114,41,73.0,14
115,41,64.0,12
116,40,56.0,11
117,40,51.0,11
118,43,63.0,15
119,43,76.0,13
120,43,66.0,12
121,43,68.0,12
122,42,83.0,13
123,44,74.0,17
124,44,65.0,12
125,44,60.0,13
126,44,53.0,12
127,43,45.0,10
128,43,40.0,12
129,43,45.0,12
130,43,42.0,13
131,43,42.0,13
132,43,43.0,12
133,43,49.0,13
134,44,53.0,13
135,45,59.0,13
136,45,72.0,13
137,45,86.0,15
138,45,81.0,15
139,43,69.0,14
140,44,59.0,15
141,44,49.0,12
142,43,39.0,13
143,44,43.0,13
144,44,40.0,12
145,43,41.0,12
146,43,44.0,13
147,44,48.0,14
148,44,52.0,12
149,44,55.0,11
150,44,62.0,12
151,44,75.0,13
152,45,90.0,16
153,46,81.0,15
154,45,72.0,12
155,45,65.0,13
156,46,61.0,14
157,47,56.0,14
158,46,60.0,15
159,46,71.0,17
160,44,76.0,20
161,44,79.0,18
162,43,83.0,20
163,43,91.0,19
164,43,97.0,18
165,43,114.0,18
166,43,126.0,18
167,44,147.0,21
168,44,144.0,20
169,46,143.0,25
170,46,130.0,22
171,45,116.0,20
172,45,102.0,19
173,46,88.0,21
174,46,78.0,18
175,45,71.0,18
176,45,75.0,18
177,45,73.0,19
178,45,71.0,18
179,45,77.0,16
180,45,77.0,16
181,45,77.0,16
182,45,81.0,13
183,46,75.0,15
184,46,66.0,13
185,45,60.0,12
186,45,54.0,11
187,46,48.0,12
188,47,50.0,13
189,46,47.0,13
190,44,43.0,10
191,44,42.0,13
192,43,51.0,15
193,42,62.0,16
194,42,69.0,15
195,42,77.0,16
196,42,86.0,14
197,42,102.0,16
198,44,92.0,16
199,44,82.0,14
200,44,75.0,13
201,42,68.0,12
202,42,61.0,12
203,42,74.0,15
204,42,67.0,13
205,41,60.0,12
206,40,62.0,14
207,41,64.0,13
208,41,67.0,13
209,41,72.0,12
210,41,81.0,13
211,42,97.0,16
212,43,115.0,18
213,44,106.0,17
214,43,98.0,17
215,43,84.0,16
216,43,71.0,14
217,44,61.0,16
218,45,51.0,14
219,45,55.0,14
220,45,49.0,17
221,44,46.0,14
222,45,47.0,15
223,45,52.0,15
224,45,63.0,17
225,45,78.0,16
226,46,89.0,17
227,46,110.0,21
228,47,99.0,21
229,48,93.0,22
