time,cars,wait,queue
0,0,0.0,0
1,0,0.0,0
2,0,0.0,0
3,1,0.0,1
4,1,0.0,0
5,1,0.0,0
6,1,0.0,0
7,1,0.0,0
8,2,0.0,1
9,2,0.0,0
10,2,0.0,0
11,2,0.0,0
12,4,0.0,2
13,4,1.0,1
14,4,0.0,0
15,4,0.0,0
16,4,0.0,0
17,4,0.0,0
18,5,0.0,1
19,5,0.0,0
20,5,0.0,0
21,6,1.0,2
22,6,0.0,0
23,7,0.0,1
24,8,0.0,1
25,9,0.0,1
26,10,0.0,1
27,11,0.0,1
28,12,0.0,1
29,12,1.0,1
30,13,1.0,1
31,14,2.0,1
32,15,3.0,1
33,16,4.0,1
34,16,5.0,0
35,18,6.0,2
36,19,7.0,1
37,19,8.0,0
38,18,9.0,0
39,19,11.0,2
40,21,11.0,3
41,21,0.0,0
42,20,0.0,0
43,20,0.0,0
44,20,1.0,0
45,21,4.0,4
46,21,6.0,4
47,20,7.0,3
48,20,10.0,3
49,21,14.0,5
50,22,18.0,5
51,23,23.0,6
52,23,29.0,6
53,23,35.0,6
54,24,42.0,7
55,25,27.0,6
56,24,12.0,3
57,24,4.0,3
58,25,2.0,2
59,26,3.0,3
60,26,5.0,2
61,25,7.0,2
62,24,10.0,3
63,24,14.0,5
64,24,19.0,5
65,24,26.0,6
66,24,33.0,6
67,25,42.0,9
68,25,51.0,8
69,25,61.0,9
70,25,46.0,7
71,24,38.0,7
72,24,31.0,8
73,23,25.0,6
74,23,19.0,5
75,23,19.0,8
76,23,19.0,8
77,24,24.0,11
78,23,29.0,7
79,23,36.0,7
80,24,43.0,8
81,24,50.0,7
82,26,57.0,9
83,26,64.0,7
84,27,71.0,8
85,27,52.0,5
86,26,33.0,3
87,27,13.0,3
88,27,2.0,1
89,28,3.0,2
90,28,5.0,3
91,27,8.0,4
92,27,12.0,4
93,27,16.0,5
94,27,22.0,6
95,27,29.0,8
96,28,37.0,9
97,28,45.0,8
98,29,54.0,10
99,29,65.0,10
100,29,57.0,11
101,28,50.0,8
102,28,47.0,8
103,27,44.0,9
104,26,41.0,9
105,26,38.0,9
106,26,34.0,7
107,26,42.0,9
108,26,40.0,8
109,26,36.0,7
110,27,43.0,8
111,28,38.0,7
112,28,36.0,6
113,28,35.0,5
114,28,41.0,6
115,28,22.0,5
116,29,11.0,4
117,28,6.0,2
118,28,5.0,3
119,27,7.0,3
120,28,10.0,6
121,28,13.0,3
122,27,17.0,4
123,27,23.0,5
124,28,30.0,8
125,30,37.0,8
126,30,45.0,7
127,30,55.0,9
128,31,67.0,12
129,32,79.0,12
130,31,70.0,11
131,32,54.0,12
132,31,46.0,9
133,31,43.0,9
134,31,42.0,9
135,32,43.0,10
136,32,42.0,11
137,31,41.0,9
138,31,42.0,9
139,31,54.0,13
140,32,54.0,11
141,32,56.0,10
142,33,67.0,11
143,33,69.0,9
144,34,81.0,12
145,34,70.0,11
146,34,58.0,9
147,34,39.0,6
148,35,24.0,9
149,35,14.0,5
150,36,11.0,6
151,36,15.0,6
152,34,18.0,8
153,35,21.0,7
154,36,27.0,10
155,37,33.0,9
156,37,40.0,8
157,37,49.0,9
158,37,59.0,10
159,39,69.0,12
160,39,57.0,10
161,40,46.0,9
162,39,37.0,7
163,39,35.0,9
164,40,31.0,9
165,41,32.0,10
166,40,28.0,9
167,40,26.0,7
168,39,24.0,10
169,39,26.0,10
170,39,30.0,10
171,39,35.0,9
172,39,43.0,12
173,39,51.0,10
174,39,63.0,12
175,39,55.0,11
176,40,48.0,12
177,40,42.0,10
178,40,39.0,13
179,40,37.0,11
180,41,36.0,11
181,40,35.0,9
182,41,38.0,10
183,40,42.0,10
184,40,47.0,10
185,40,59.0,12
186,39,74.0,14
187,41,89.0,16
188,41,108.0,17
189,41,120.0,19
190,41,102.0,17
191,41,85.0,18
192,42,72.0,18
193,42,55.0,14
194,41,42.0,10
195,42,35.0,12
196,42,35.0,12
197,44,40.0,13
198,44,52.0,14
199,44,57.0,12
200,45,65.0,15
201,45,73.0,13
202,46,86.0,17
203,46,105.0,18
204,46,127.0,21
205,45,125.0,21
206,45,112.0,20
207,46,99.0,20
208,48,90.0,21
209,47,80.0,17
210,47,74.0,17
211,46,82.0,19
212,46,82.0,20
213,47,72.0,19
214,47,65.0,15
215,46,65.0,14
216,46,65.0,14
217,47,66.0,15
218,48,72.0,15
219,48,79.0,13
220,48,70.0,12
221,47,61.0,11
222,48,56.0,14
223,48,53.0,14
224,48,49.0,12
225,49,55.0,16
226,49,53.0,14
227,48,64.0,17
228,47,66.0,17
229,46,70.0,17
230,46,76.0,19
231,46,79.0,17
232,46,88.0,16
233,46,100.0,17
234,46,120.0,19
235,47,111.0,19
236,47,100.0,17
237,47,93.0,15
238,46,87.0,16
239,46,78.0,14
240,44,69.0,13
241,45,76.0,17
242,46,83.0,18
243,45,78.0,15
244,45,75.0,16
245,45,72.0,15
246,46,82.0,18
247,47,84.0,17
248,47,96.0,18
249,47,116.0,19
250,48,106.0,22
251,46,98.0,21
252,48,90.0,21
253,48,86.0,21
254,48,97.0,20
255,48,102.0,22
256,48,101.0,25
257,48,101.0,23
258,48,100.0,23
259,48,100.0,20
260,48,103.0,20
261,48,118.0,22
262,48,126.0,23
263,49,139.0,23
264,49,154.0,22
265,48,168.0,23
266,49,182.0,25
267,50,185.0,27
268,50,190.0,24
269,50,198.0,26
270,50,186.0,25
271,49,178.0,27
272,49,166.0,25
273,48,157.0,25
274,49,154.0,24
275,48,153.0,23
276,48,141.0,19
277,48,130.0,18
278,48,142.0,19
279,49,145.0,20
280,49,116.0,17
281,49,90.0,16
282,49,68.0,14
283,49,62.0,14
284,49,55.0,12
285,50,51.0,14
286,49,61.0,14
287,49,54.0,13
288,48,57.0,14
289,48,56.0,14
290,49,55.0,15
291,48,58.0,15
292,48,62.0,14
293,48,78.0,15
294,48,89.0,18
295,49,77.0,17
296,49,68.0,16
297,50,60.0,17
298,50,49.0,13
299,50,48.0,14
300,50,46.0,15
301,50,47.0,17
302,50,52.0,17
303,49,60.0,17
304,49,59.0,16
305,50,59.0,16
306,50,69.0,16
307,50,65.0,13
308,50,71.0,14
309,50,85.0,15
310,49,79.0,15
311,48,73.0,14
312,48,68.0,15
313,48,63.0,14
314,48,62.0,17
315,47,61.0,16
316,46,69.0,16
317,45,67.0,16
318,45,73.0,14
319,46,71.0,15
320,45,69.0,14
321,46,69.0,15
322,46,67.0,12
323,47,81.0,15
324,47,97.0,16
325,47,87.0,16
326,47,81.0,16
327,47,74.0,14
328,48,68.0,14
329,48,72.0,15
330,48,68.0,16
331,47,76.0,16
332,46,71.0,14
333,45,67.0,14
334,45,66.0,14
335,45,64.0,15
336,45,66.0,14
337,45,82.0,16
338,45,85.0,15
339,47,101.0,18
340,47,92.0,14
341,47,84.0,15
342,46,77.0,16
343,46,73.0,15
344,47,65.0,15
345,45,60.0,14
346,44,65.0,16
347,44,72.0,18
348,44,65.0,14
349,44,65.0,16
350,44,65.0,14
351,45,73.0,16
352,45,76.0,14
353,45,87.0,15
354,46,102.0,16
355,46,94.0,15
356,47,85.0,15
357,46,77.0,14
358,46,69.0,12
359,48,64.0,14
360,48,72.0,15
361,46,72.0,16
362,46,79.0,17
363,47,78.0,17
364,45,82.0,18
365,46,90.0,19
366,46,110.0,20
367,46,123.0,20
368,46,139.0,22
369,46,161.0,22
370,48,147.0,25
371,49,135.0,22
372,49,121.0,20
373,49,110.0,21
374,48,97.0,19
375,47,87.0,19
376,48,100.0,22
377,47,92.0,19
378,47,88.0,20
379,47,83.0,19
380,47,88.0,22
381,48,91.0,19
382,48,96.0,17
383,48,93.0,16
384,48,113.0,19
385,49,111.0,19
386,48,113.0,19
387,48,116.0,21
388,49,109.0,24
389,48,105.0,24
390,49,103.0,23
391,49,97.0,22
392,48,97.0,21
393,49,89.0,22
394,48,89.0,20
395,48,99.0,21
396,47,89.0,19
397,47,85.0,18
398,48,84.0,19
399,48,86.0,16
400,48,67.0,13
401,48,50.0,10
402,48,47.0,12
403,48,42.0,11
404,48,41.0,12
405,48,43.0,12
406,48,52.0,13
407,49,55.0,16
408,49,59.0,15
409,47,65.0,16
410,47,74.0,17
411,45,91.0,18
412,47,102.0,20
413,47,118.0,21
414,47,141.0,22
415,47,140.0,22
416,49,127.0,24
417,49,116.0,21
418,49,108.0,22
419,48,102.0,21
420,48,94.0,18
421,49,99.0,21
422,48,93.0,21
423,48,98.0,22
424,47,94.0,21
425,47,100.0,21
426,47,114.0,22
