time,cars,wait,queue
0,0,0.0,0
1,0,0.0,0
2,0,0.0,0
3,1,0.0,1
4,1,0.0,0
5,2,0.0,1
6,2,0.0,0
7,4,0.0,2
8,5,0.0,1
9,5,0.0,0
10,6,0.0,1
11,7,0.0,1
12,7,0.0,0
13,7,0.0,0
14,8,0.0,1
15,8,0.0,0
16,8,0.0,0
17,9,0.0,1
18,9,0.0,0
19,9,0.0,0
20,9,1.0,1
21,9,0.0,0
22,9,0.0,0
23,9,0.0,0
24,11,0.0,2
25,11,2.0,2
26,11,4.0,2
27,11,7.0,3
28,12,10.0,4
29,12,14.0,5
30,12,18.0,4
31,12,22.0,4
32,12,26.0,4
33,13,30.0,5
34,14,35.0,6
35,14,40.0,5
36,14,21.0,4
37,14,4.0,1
38,14,1.0,2
39,14,0.0,0
40,16,0.0,2
41,15,0.0,0
42,16,1.0,2
43,16,2.0,1
44,16,3.0,1
45,18,5.0,4
46,18,7.0,2
47,19,9.0,3
48,20,11.0,3
49,21,13.0,3
50,21,15.0,2
51,20,8.0,2
52,20,2.0,2
53,21,1.0,2
54,20,2.0,2
55,20,4.0,2
56,20,6.0,3
57,22,8.0,4
58,22,11.0,3
59,21,15.0,4
60,20,20.0,5
61,20,25.0,5
62,20,30.0,5
63,21,35.0,6
64,21,41.0,6
65,23,48.0,9
66,23,29.0,5
67,21,15.0,3
68,22,4.0,2
69,21,1.0,1
70,22,4.0,3
71,22,7.0,4
72,22,10.0,2
73,22,16.0,6
74,22,23.0,6
75,21,31.0,7
76,24,39.0,10
77,25,47.0,8
78,25,55.0,7
79,25,63.0,7
80,26,72.0,9
81,27,44.0,7
82,27,21.0,5
83,28,14.0,4
84,27,7.0,2
85,28,6.0,5
86,28,8.0,3
87,28,12.0,5
88,28,16.0,5
89,28,22.0,6
90,28,28.0,7
91,28,35.0,7
92,29,42.0,8
93,30,51.0,10
94,30,61.0,10
95,30,72.0,11
96,30,58.0,11
97,31,44.0,9
98,31,32.0,6
99,30,24.0,6
100,30,18.0,5
101,30,17.0,6
102,30,25.0,8
103,29,25.0,8
104,29,31.0,9
105,29,36.0,8
106,28,45.0,9
107,30,56.0,12
108,30,68.0,11
109,30,81.0,12
110,32,94.0,14
111,32,83.0,12
112,34,62.0,13
113,34,45.0,9
114,34,40.0,8
115,34,42.0,9
116,34,44.0,10
117,34,46.0,12
118,34,59.0,14
119,34,64.0,15
120,34,70.0,14
121,34,87.0,17
122,35,94.0,17
123,35,101.0,15
124,35,111.0,18
125,36,119.0,17
126,37,113.0,17
127,36,86.0,14
128,36,67.0,12
129,36,51.0,12
130,38,38.0,13
131,38,26.0,8
132,38,26.0,10
133,38,35.0,12
134,38,36.0,10
135,39,40.0,12
136,39,52.0,12
137,38,51.0,11
138,39,64.0,13
139,40,72.0,15
140,41,88.0,16
141,41,83.0,15
142,42,77.0,14
143,42,73.0,14
144,44,61.0,14
145,44,56.0,15
146,43,56.0,12
147,43,48.0,11
148,44,46.0,15
149,45,47.0,15
150,44,49.0,14
151,45,55.0,14
152,44,67.0,16
153,45,82.0,16
154,45,99.0,18
155,45,118.0,19
156,46,118.0,20
157,49,119.0,22
158,49,111.0,22
159,49,105.0,22
160,48,103.0,23
161,48,98.0,22
162,48,94.0,19
163,48,90.0,20
164,48,103.0,22
165,47,98.0,20
166,49,96.0,21
167,49,102.0,19
168,48,104.0,19
169,48,102.0,18
170,48,106.0,18
171,48,96.0,18
172,48,90.0,16
173,46,85.0,15
174,47,77.0,18
175,47,69.0,15
176,46,75.0,16
177,46,76.0,16
178,46,73.0,18
179,46,68.0,18
180,45,61.0,15
181,45,58.0,15
182,45,61.0,15
183,46,64.0,15
184,46,58.0,12
185,46,68.0,13
186,48,60.0,16
187,47,55.0,14
188,48,49.0,13
189,48,47.0,14
190,48,46.0,13
191,49,46.0,13
192,50,46.0,13
193,49,63.0,16
194,49,73.0,17
195,49,78.0,18
196,48,83.0,18
197,47,98.0,19
198,49,106.0,21
199,49,120.0,20
200,49,144.0,23
201,48,144.0,24
202,48,145.0,22
203,48,133.0,23
204,48,124.0,22
205,49,117.0,25
206,49,107.0,22
207,48,111.0,23
208,48,103.0,23
209,47,92.0,21
210,48,83.0,19
211,47,92.0,20
212,47,92.0,20
213,47,85.0,17
214,47,93.0,16
215,48,98.0,16
216,48,81.0,12
217,48,64.0,11
218,48,57.0,12
219,49,51.0,13
220,49,45.0,10
221,49,44.0,12
222,49,44.0,13
223,48,61.0,16
224,47,65.0,19
225,46,70.0,16
226,46,76.0,16
227,45,89.0,19
228,46,100.0,19
229,46,114.0,18
230,46,128.0,22
231,47,114.0,23
232,48,103.0,22
233,49,92.0,21
234,49,81.0,17
235,48,74.0,16
236,48,66.0,15
237,49,70.0,18
238,49,69.0,19
239,49,82.0,21
240,49,79.0,19
241,49,80.0,19
242,50,79.0,17
243,50,88.0,17
244,50,100.0,18
245,50,120.0,20
246,48,118.0,19
247,47,109.0,21
248,49,101.0,23
249,49,94.0,21
250,48,88.0,22
251,47,94.0,21
252,47,95.0,21
253,47,89.0,21
254,46,92.0,18
255,46,86.0,18
256,46,88.0,17
257,46,81.0,16
258,47,74.0,16
259,47,72.0,13
260,47,80.0,13
261,47,72.0,13
262,46,64.0,13
263,47,58.0,13
264,47,55.0,13
265,47,52.0,13
266,48,49.0,14
267,49,48.0,15
268,48,59.0,17
269,47,58.0,14
270,46,61.0,15
271,46,72.0,16
272,46,79.0,15
273,46,94.0,15
274,46,103.0,14
275,47,119.0,17
276,47,109.0,16
277,48,100.0,17
278,47,93.0,17
279,47,86.0,17
280,46,81.0,16
281,45,87.0,16
282,45,86.0,18
283,44,86.0,18
284,44,88.0,18
285,43,93.0,18
286,43,91.0,19
287,44,90.0,19
288,44,93.0,17
289,45,111.0,21
290,45,132.0,21
291,46,116.0,21
292,47,103.0,21
293,48,91.0,18
294,48,79.0,16
295,48,71.0,16
296,48,65.0,14
297,50,69.0,19
298,50,66.0,19
299,50,65.0,18
300,49,71.0,18
301,49,76.0,18
302,49,87.0,19
303,49,100.0,19
304,49,111.0,18
305,49,133.0,21
306,48,132.0,20
307,49,120.0,22
308,49,109.0,21
309,50,100.0,21
310,49,92.0,21
311,48,99.0,24
312,48,91.0,23
313,47,84.0,20
314,48,78.0,19
315,47,88.0,18
316,47,89.0,17
317,47,74.0,15
318,47,74.0,15
319,48,76.0,16
320,48,85.0,14
321,48,78.0,13
322,48,71.0,15
323,49,63.0,14
324,49,57.0,13
325,50,55.0,14
326,50,50.0,13
327,48,57.0,13
328,47,57.0,15
329,47,63.0,17
330,47,66.0,16
331,48,70.0,17
332,48,67.0,16
333,47,66.0,14
334,48,78.0,17
335,49,93.0,20
336,49,80.0,18
337,49,73.0,19
338,49,72.0,19
339,49,68.0,18
340,49,64.0,16
341,49,63.0,19
342,49,72.0,17
343,49,79.0,18
344,49,78.0,18
345,49,77.0,16
346,50,76.0,15
347,50,77.0,14
348,49,80.0,13
349,49,97.0,16
350,49,116.0,18
351,48,110.0,18
352,48,105.0,17
353,48,95.0,18
354,48,89.0,18
355,48,84.0,18
356,47,93.0,19
357,47,92.0,20
358,47,99.0,21
359,46,93.0,20
360,46,100.0,20
361,47,95.0,20
362,47,93.0,18
363,47,94.0,18
364,47,112.0,19
365,47,121.0,20
366,48,117.0,18
367,48,116.0,18
368,48,117.0,20
369,48,103.0,17
370,49,92.0,18
371,50,84.0,19
372,50,79.0,18
373,50,83.0,20
374,50,88.0,21
375,49,86.0,20
376,48,86.0,19
377,49,97.0,20
378,48,97.0,17
379,48,110.0,21
380,48,122.0,21
381,48,114.0,19
382,50,108.0,21
383,50,116.0,22
384,49,106.0,23
385,50,98.0,22
386,50,94.0,22
387,50,86.0,20
388,50,80.0,19
389,49,82.0,20
390,49,86.0,21
391,48,88.0,17
392,49,88.0,19
393,48,81.0,15
394,48,78.0,16
395,48,81.0,15
396,49,63.0,14
397,49,58.0,13
398,49,43.0,11
399,49,42.0,13
400,48,38.0,12
401,48,37.0,11
402,47,37.0,12
403,47,45.0,14
404,46,48.0,14
405,45,51.0,14
406,44,65.0,17
407,44,69.0,15
408,44,75.0,15
409,44,93.0,17
410,44,112.0,18
411,45,105.0,17
412,46,104.0,20
413,46,101.0,19
414,46,91.0,17
415,45,84.0,19
416,45,75.0,16
417,45,70.0,17
418,46,59.0,16
419,46,57.0,19
420,47,60.0,18
421,46,51.0,15
422,46,49.0,14
423,47,55.0,17
424,47,63.0,17
425,47,76.0,16
426,47,65.0,15
