time,cars,wait,queue
0,1,0.0,1
1,2,0.0,1
2,2,0.0,0
3,2,0.0,0
4,2,0.0,0
5,2,0.0,0
6,2,0.0,0
7,2,0.0,0
8,2,0.0,0
9,3,0.0,1
10,3,0.0,0
11,3,0.0,0
12,3,0.0,0
13,3,0.0,0
14,3,0.0,0
15,3,0.0,0
16,3,0.0,0
17,3,0.0,0
18,5,0.0,2
19,5,0.0,0
20,5,0.0,0
21,5,0.0,0
22,5,0.0,1
23,5,0.0,0
24,5,0.0,0
25,7,0.0,2
26,8,0.0,1
27,8,0.0,1
28,8,0.0,0
29,8,0.0,0
30,10,0.0,2
31,11,0.0,1
32,11,0.0,0
33,12,0.0,1
34,12,0.0,0
35,12,0.0,1
36,12,1.0,1
37,12,0.0,0
38,12,0.0,0
39,13,0.0,1
40,13,1.0,1
41,12,2.0,1
42,12,3.0,1
43,13,6.0,4
44,13,9.0,3
45,13,12.0,3
46,13,17.0,4
47,14,22.0,5
48,15,27.0,5
49,15,33.0,5
50,16,39.0,6
51,16,46.0,7
52,16,23.0,4
53,16,5.0,2
54,16,1.0,2
55,16,1.0,1
56,17,3.0,2
57,17,6.0,2
58,18,10.0,4
59,19,14.0,5
60,19,20.0,5
61,19,26.0,5
62,20,32.0,6
63,22,38.0,7
64,22,45.0,6
65,22,52.0,6
66,24,59.0,8
67,25,32.0,7
68,25,18.0,6
69,25,7.0,3
70,25,1.0,1
71,25,2.0,3
72,25,3.0,2
73,24,7.0,4
74,24,11.0,4
75,23,15.0,4
76,23,20.0,5
77,23,25.0,5
78,24,32.0,8
79,25,39.0,8
80,25,46.0,7
81,25,53.0,7
82,24,40.0,7
83,24,29.0,6
84,24,20.0,5
85,23,15.0,4
86,23,11.0,4
87,23,15.0,5
88,23,12.0,3
89,22,15.0,4
90,22,18.0,3
91,20,21.0,3
92,21,24.0,4
93,21,27.0,4
94,21,31.0,3
95,21,35.0,3
96,22,40.0,5
97,22,20.0,4
98,23,10.0,4
99,23,9.0,4
100,22,9.0,4
101,21,11.0,6
102,22,9.0,5
103,22,8.0,2
104,22,7.0,2
105,21,10.0,3
106,23,13.0,5
107,23,18.0,6
108,23,23.0,5
109,23,29.0,6
110,23,35.0,6
111,25,41.0,8
112,26,25.0,6
113,26,21.0,4
114,24,17.0,3
115,24,11.0,2
116,24,6.0,3
117,24,2.0,1
118,23,0.0,1
119,23,2.0,2
120,23,3.0,3
121,23,6.0,2
122,22,9.0,3
123,22,13.0,3
124,22,18.0,4
125,24,23.0,6
126,24,28.0,4
127,24,25.0,4
128,23,17.0,5
129,23,12.0,4
130,24,9.0,6
131,24,7.0,4
132,23,8.0,3
133,24,10.0,4
134,24,16.0,7
135,25,22.0,7
136,25,28.0,7
137,25,36.0,8
138,26,46.0,11
139,27,56.0,11
140,28,66.0,11
141,29,79.0,14
142,30,68.0,12
143,29,56.0,10
144,30,48.0,10
145,30,39.0,9
146,31,32.0,8
147,31,23.0,7
148,31,17.0,6
149,31,17.0,6
150,31,19.0,4
151,32,20.0,6
152,32,26.0,5
153,32,32.0,5
154,33,40.0,8
155,33,49.0,8
156,35,58.0,10
157,35,50.0,8
158,34,38.0,8
159,34,27.0,7
160,34,19.0,7
161,34,21.0,8
162,34,17.0,7
163,34,18.0,9
164,35,21.0,8
165,35,28.0,10
166,36,38.0,10
167,36,50.0,11
168,38,65.0,15
169,39,80.0,14
170,40,98.0,17
171,40,108.0,18
172,40,92.0,19
173,39,79.0,15
174,40,68.0,15
175,41,57.0,12
176,41,60.0,11
177,42,49.0,10
178,43,43.0,13
179,43,37.0,11
180,43,36.0,13
181,44,35.0,12
182,44,38.0,10
183,45,52.0,14
184,45,56.0,11
185,45,70.0,13
186,46,81.0,15
187,44,73.0,14
188,44,64.0,13
189,44,54.0,11
190,45,44.0,12
191,45,34.0,8
192,44,24.0,7
193,43,26.0,8
194,43,32.0,13
195,46,37.0,16
196,46,43.0,12
197,46,57.0,14
198,46,64.0,14
199,46,73.0,14
200,47,82.0,15
201,47,98.0,16
202,47,92.0,15
203,46,85.0,16
204,46,78.0,15
205,46,73.0,18
206,46,65.0,16
207,45,62.0,16
208,44,56.0,15
209,44,61.0,15
210,45,64.0,15
211,45,62.0,14
212,45,59.0,13
213,44,63.0,12
214,44,68.0,12
215,46,64.0,14
216,46,78.0,13
217,46,72.0,13
218,46,65.0,14
219,46,58.0,14
220,47,50.0,14
221,47,44.0,13
222,47,48.0,13
223,47,44.0,14
224,46,49.0,14
225,47,46.0,13
226,47,47.0,12
227,48,51.0,15
228,48,64.0,13
229,48,70.0,13
230,48,82.0,15
231,48,97.0,15
232,49,89.0,18
233,48,80.0,15
234,48,74.0,16
235,48,66.0,15
236,48,63.0,16
237,49,79.0,19
238,49,77.0,17
239,47,77.0,17
240,47,76.0,16
241,46,76.0,16
242,48,76.0,17
243,48,77.0,14
244,48,86.0,15
245,48,100.0,15
246,49,110.0,17
247,48,104.0,17
248,48,98.0,16
249,48,89.0,17
250,48,82.0,17
251,48,75.0,15
252,47,69.0,17
253,46,73.0,17
254,46,62.0,14
255,45,65.0,16
256,46,60.0,16
257,46,65.0,16
258,46,54.0,11
259,46,49.0,11
260,47,52.0,12
261,47,65.0,13
262,48,58.0,12
263,48,51.0,10
264,49,47.0,12
265,49,43.0,13
266,49,40.0,12
267,50,41.0,11
268,49,41.0,12
269,48,41.0,13
270,47,51.0,14
271,47,57.0,16
272,47,75.0,18
273,46,81.0,17
274,46,89.0,18
275,47,98.0,18
276,47,118.0,19
277,48,114.0,20
278,48,114.0,21
279,48,105.0,21
280,47,96.0,19
281,47,93.0,23
282,47,92.0,19
283,47,83.0,19
284,46,81.0,21
285,46,80.0,19
286,46,84.0,21
287,46,77.0,17
288,47,72.0,19
289,47,64.0,15
290,47,74.0,17
291,47,73.0,15
292,48,64.0,14
293,48,59.0,12
294,48,54.0,11
295,47,51.0,12
296,48,47.0,12
297,50,47.0,16
298,49,46.0,13
299,49,47.0,13
300,48,55.0,15
301,47,67.0,16
302,47,74.0,17
303,47,84.0,17
304,47,97.0,17
305,47,112.0,16
306,47,130.0,18
307,46,120.0,17
308,47,113.0,19
309,47,106.0,18
310,47,99.0,17
311,46,92.0,15
312,45,96.0,17
313,45,90.0,16
314,43,84.0,15
315,43,80.0,16
316,42,75.0,15
317,43,83.0,17
318,43,79.0,14
319,43,80.0,15
320,43,97.0,16
321,44,116.0,19
322,45,109.0,18
323,45,98.0,18
324,44,86.0,14
325,44,74.0,13
326,45,71.0,13
327,44,60.0,11
328,44,52.0,13
329,44,46.0,14
330,46,40.0,14
331,46,50.0,15
