time,cars,wait,queue
0,0,0.0,0
1,2,0.0,2
2,3,0.0,1
3,4,0.0,1
4,4,0.0,0
5,4,0.0,0
6,5,0.0,1
7,5,0.0,0
8,6,0.0,1
9,6,0.0,0
10,6,0.0,0
11,6,0.0,0
12,6,0.0,0
13,7,0.0,1
14,7,0.0,0
15,7,0.0,0
16,7,0.0,0
17,7,0.0,0
18,9,1.0,3
19,9,2.0,1
20,9,3.0,1
21,10,4.0,2
22,11,6.0,3
23,11,8.0,2
24,11,12.0,5
25,12,16.0,5
26,12,21.0,5
27,12,24.0,4
28,13,28.0,5
29,14,32.0,6
30,14,37.0,5
31,15,18.0,4
32,15,4.0,2
33,17,2.0,3
34,17,0.0,0
35,18,2.0,2
36,18,4.0,1
37,18,7.0,2
38,19,10.0,3
39,19,14.0,3
40,20,19.0,5
41,21,26.0,7
42,21,33.0,6
43,22,40.0,7
44,22,49.0,8
45,23,58.0,9
46,23,67.0,8
47,23,76.0,9
48,23,88.0,11
49,22,85.0,11
50,22,83.0,11
51,21,81.0,10
52,20,78.0,9
53,21,74.0,9
54,21,71.0,8
55,21,71.0,7
56,21,72.0,6
57,22,80.0,8
58,22,84.0,6
59,24,92.0,9
60,24,100.0,7
61,24,67.0,5
62,24,41.0,4
63,25,20.0,5
64,25,4.0,2
65,24,6.0,3
66,25,10.0,5
67,24,12.0,5
68,25,17.0,9
69,25,22.0,6
70,24,29.0,7
71,26,37.0,10
72,26,46.0,9
73,27,56.0,10
74,27,66.0,9
75,28,78.0,12
76,29,90.0,12
77,29,104.0,12
78,30,113.0,14
79,29,123.0,13
80,30,133.0,13
81,31,148.0,15
82,30,163.0,14
83,29,180.0,16
84,29,197.0,16
85,30,215.0,19
86,31,233.0,18
87,31,252.0,18
88,31,271.0,18
89,32,290.0,19
90,33,310.0,20
91,34,261.0,18
92,34,211.0,15
93,34,175.0,12
94,35,148.0,13
95,37,134.0,12
96,36,137.0,11
97,36,115.0,10
98,35,99.0,10
99,37,87.0,13
100,37,101.0,14
101,37,93.0,13
102,37,89.0,14
103,39,86.0,16
104,39,99.0,16
105,40,115.0,17
106,40,133.0,17
107,40,151.0,18
108,41,171.0,20
109,42,194.0,23
110,43,215.0,22
111,43,237.0,21
112,43,259.0,22
113,43,284.0,24
114,43,309.0,25
115,44,334.0,25
116,43,361.0,26
117,43,389.0,27
118,42,418.0,28
119,43,448.0,31
120,43,480.0,31
121,42,454.0,28
122,42,401.0,27
123,41,350.0,24
124,42,302.0,23
125,41,253.0,19
126,40,209.0,18
127,40,205.0,21
128,40,184.0,19
129,41,145.0,17
130,41,112.0,16
131,42,87.0,14
132,43,84.0,12
133,44,68.0,13
134,44,63.0,11
135,45,74.0,12
136,45,86.0,12
137,43,98.0,12
138,44,111.0,14
139,44,126.0,16
140,45,143.0,18
141,44,159.0,17
142,44,177.0,18
143,43,196.0,20
144,43,216.0,20
145,41,236.0,20
146,41,256.0,21
147,41,278.0,20
148,41,301.0,22
149,40,326.0,24
150,40,352.0,24
151,39,322.0,25
152,39,289.0,24
153,39,255.0,23
154,39,221.0,19
155,40,183.0,17
156,40,200.0,20
157,40,169.0,17
158,40,140.0,15
159,40,115.0,14
160,42,105.0,15
161,42,84.0,12
162,42,66.0,12
163,42,73.0,15
164,44,82.0,14
165,44,65.0,12
166,43,76.0,12
167,42,89.0,13
168,42,102.0,13
169,43,116.0,15
170,43,130.0,15
171,43,146.0,16
172,43,163.0,17
173,42,182.0,18
174,42,202.0,20
175,41,224.0,21
176,40,246.0,21
177,41,270.0,25
178,41,295.0,24
179,41,320.0,25
180,41,347.0,25
181,42,312.0,26
182,42,277.0,23
183,42,241.0,23
184,42,206.0,20
185,41,167.0,17
186,43,138.0,15
187,44,130.0,15
188,44,125.0,14
189,44,100.0,12
190,44,79.0,12
191,46,63.0,13
192,46,52.0,10
193,46,39.0,10
194,46,49.0,10
195,47,62.0,14
196,47,74.0,13
197,45,87.0,13
198,45,101.0,14
199,45,117.0,16
200,46,132.0,17
201,46,150.0,20
202,46,170.0,19
203,44,191.0,20
204,44,213.0,21
205,42,236.0,22
206,44,260.0,26
207,43,285.0,24
208,41,310.0,24
209,41,336.0,25
210,40,364.0,27
211,42,342.0,27
212,42,310.0,26
213,42,279.0,23
214,42,249.0,22
215,42,217.0,20
216,41,188.0,21
217,41,156.0,18
218,41,132.0,17
219,41,140.0,16
220,41,112.0,13
221,42,89.0,11
222,42,71.0,10
223,43,52.0,10
224,43,63.0,11
225,43,73.0,11
226,44,86.0,13
227,44,100.0,13
228,44,116.0,16
229,44,134.0,17
230,44,151.0,17
231,45,172.0,22
232,45,192.0,20
233,44,214.0,22
234,44,239.0,24
235,43,265.0,25
236,44,292.0,28
237,45,320.0,28
238,44,350.0,29
239,44,380.0,29
240,44,411.0,30
241,44,370.0,29
242,45,331.0,30
243,44,294.0,27
244,43,260.0,24
245,44,225.0,24
246,44,192.0,21
247,45,158.0,17
248,45,143.0,17
249,45,116.0,14
250,45,102.0,17
251,46,96.0,15
252,46,78.0,14
253,46,55.0,12
254,46,63.0,12
255,46,69.0,11
256,46,82.0,14
257,45,96.0,14
258,45,109.0,14
259,46,125.0,17
260,47,143.0,19
261,45,160.0,18
262,45,178.0,18
263,45,198.0,21
264,44,218.0,20
265,44,238.0,21
266,43,259.0,20
267,42,282.0,22
