time,cars,wait,queue
318,46,149.0,22
319,47,145.0,22
320,46,131.0,23
321,47,118.0,22
322,47,107.0,21
323,46,99.0,20
324,47,91.0,21
325,47,94.0,22
326,47,101.0,20
327,46,94.0,21
328,47,87.0,20
329,47,84.0,19
330,47,80.0,16
331,47,78.0,14
332,47,95.0,16
333,48,104.0,18
334,48,89.0,13
335,48,82.0,14
336,47,73.0,15
337,47,62.0,12
338,47,58.0,16
339,47,63.0,16
340,47,60.0,16
341,47,56.0,15
342,46,55.0,14
343,46,72.0,17
344,47,73.0,17
345,46,79.0,18
346,47,86.0,18
347,47,102.0,19
348,47,124.0,22
349,49,123.0,22
350,49,125.0,21
351,50,112.0,21
352,49,106.0,23
353,49,99.0,21
354,50,92.0,22
355,49,88.0,23
356,49,92.0,22
357,48,85.0,20
358,48,85.0,20
359,48,79.0,18
360,48,71.0,14
361,48,76.0,14
362,48,90.0,14
363,48,98.0,16
364,48,82.0,14
365,48,71.0,16
366,48,65.0,16
367,48,58.0,13
368,48,53.0,13
369,47,66.0,14
370,46,63.0,16
371,46,62.0,16
372,45,63.0,16
373,45,60.0,12
374,45,61.0,14
375,45,63.0,14
376,46,73.0,15
377,46,82.0,15
378,47,100.0,18
379,48,88.0,18
380,47,79.0,18
381,47,74.0,21
382,47,66.0,16
383,46,61.0,15
384,47,62.0,17
385,48,69.0,19
386,48,63.0,17
387,48,63.0,18
388,47,66.0,18
389,47,79.0,18
390,48,86.0,19
391,48,92.0,17
392,48,101.0,17
393,48,114.0,16
394,47,106.0,16
395,48,97.0,16
396,48,89.0,13
397,48,81.0,13
398,47,76.0,14
399,46,70.0,13
400,46,79.0,17
401,45,77.0,17
402,45,83.0,19
403,44,83.0,18
404,42,85.0,18
405,43,89.0,19
406,43,96.0,18
407,44,117.0,21
408,44,140.0,22
409,43,129.0,21
410,45,116.0,20
411,46,102.0,17
412,45,89.0,15
413,45,78.0,15
414,47,68.0,19
415,47,61.0,17
416,47,63.0,17
417,47,63.0,18
418,46,77.0,19
419,47,85.0,22
420,47,97.0,20
421,47,99.0,19
422,47,107.0,20
423,48,122.0,23
424,48,111.0,23
425,48,100.0,20
426,48,90.0,19
427,49,88.0,20
428,50,79.0,18
429,49,72.0,17
430,49,75.0,20
431,49,71.0,19
432,49,71.0,19
433,50,71.0,19
434,50,80.0,18
435,50,86.0,17
436,50,105.0,18
437,49,115.0,18
438,49,136.0,21
439,49,123.0,23
440,49,115.0,23
441,49,105.0,22
442,50,94.0,22
443,50,88.0,22
444,50,85.0,20
445,49,86.0,19
446,49,83.0,19
447,49,82.0,19
448,49,84.0,19
449,48,90.0,18
450,48,96.0,17
451,48,100.0,17
452,49,101.0,18
453,49,114.0,18
454,49,102.0,18
455,48,91.0,17
456,48,96.0,18
457,47,85.0,15
458,47,79.0,17
459,47,81.0,15
460,48,88.0,18
461,48,86.0,18
462,48,84.0,16
463,49,82.0,17
464,49,81.0,16
465,50,81.0,17
466,50,98.0,18
467,49,103.0,17
468,49,103.0,17
469,48,95.0,16
470,48,88.0,14
471,48,80.0,13
472,48,74.0,15
473,48,70.0,16
474,47,68.0,16
475,46,66.0,16
476,46,75.0,17
477,45,73.0,16
478,45,79.0,15
479,44,81.0,17
480,44,83.0,16
481,44,85.0,16
482,45,104.0,19
483,46,125.0,21
484,46,116.0,20
485,46,105.0,19
486,46,95.0,19
487,48,87.0,20
488,47,74.0,15
489,47,74.0,13
490,47,63.0,15
491,48,62.0,16
492,48,53.0,14
493,48,53.0,15
494,48,56.0,16
495,48,54.0,14
496,49,54.0,14
497,49,63.0,13
498,49,71.0,14
499,49,61.0,13
