time,cars,wait
0,1,0.0
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,0.0
8,2,0.0
9,2,0.0
10,2,0.0
11,4,0.0
12,4,0.0
13,4,0.0
14,4,0.0
15,5,0.0
16,5,0.0
17,5,0.0
18,5,1.0
19,6,2.0
20,6,3.0
21,7,4.0
22,7,5.0
23,7,6.0
24,7,7.0
25,7,8.0
26,7,9.0
27,8,10.0
28,8,12.0
29,8,14.0
30,8,16.0
31,8,0.0
32,9,0.0
33,9,0.0
34,9,0.0
35,8,0.0
36,10,0.0
37,11,1.0
38,11,2.0
39,11,3.0
40,12,4.0
41,14,5.0
42,14,6.0
43,14,7.0
44,15,8.0
45,15,9.0
46,16,0.0
47,16,0.0
48,16,0.0
49,15,0.0
50,16,0.0
51,16,1.0
52,15,2.0
53,15,3.0
54,15,5.0
55,18,7.0
56,18,10.0
57,19,13.0
58,19,18.0
59,20,23.0
60,21,30.0
61,21,18.0
62,20,8.0
63,21,6.0
64,21,2.0
65,23,4.0
66,23,7.0
67,23,11.0
68,23,15.0
69,23,19.0
70,25,23.0
71,25,29.0
72,25,35.0
73,25,41.0
74,27,47.0
75,27,55.0
76,28,63.0
77,27,43.0
78,27,25.0
79,27,13.0
80,25,6.0
81,26,4.0
82,26,8.0
83,26,11.0
84,26,16.0
85,25,24.0
86,25,34.0
87,27,45.0
88,27,57.0
89,27,70.0
90,26,83.0
91,27,97.0
92,28,111.0
93,28,125.0
94,29,139.0
95,29,122.0
96,30,98.0
97,30,83.0
98,30,68.0
99,30,48.0
100,29,43.0
101,30,29.0
102,30,25.0
103,30,24.0
104,30,29.0
105,30,36.0
106,30,43.0
107,32,51.0
108,33,60.0
109,33,70.0
110,33,81.0
111,32,93.0
112,34,105.0
113,35,119.0
114,34,99.0
115,34,82.0
116,33,65.0
117,32,50.0
118,32,50.0
119,31,50.0
120,30,50.0
121,31,50.0
122,32,51.0
123,32,62.0
124,32,63.0
125,33,67.0
126,33,70.0
127,34,82.0
128,34,95.0
129,33,109.0
130,34,125.0
131,35,142.0
132,35,158.0
133,34,176.0
134,34,147.0
135,34,121.0
136,36,99.0
137,36,80.0
138,36,61.0
139,36,48.0
140,35,51.0
141,35,45.0
142,36,39.0
143,37,35.0
144,37,40.0
145,37,39.0
146,38,40.0
147,38,40.0
148,38,49.0
149,37,58.0
150,38,68.0
151,38,80.0
152,38,92.0
153,37,106.0
154,36,120.0
155,36,105.0
156,36,95.0
157,34,81.0
158,34,76.0
159,35,70.0
160,35,65.0
161,34,63.0
162,33,58.0
163,34,56.0
164,34,57.0
165,35,72.0
166,35,76.0
167,35,79.0
168,36,95.0
169,37,100.0
170,37,106.0
171,37,113.0
172,38,121.0
173,39,129.0
174,40,138.0
175,40,109.0
176,40,82.0
177,40,57.0
178,41,42.0
179,42,33.0
180,42,25.0
181,43,32.0
182,45,34.0
183,45,35.0
184,44,45.0
185,44,48.0
186,45,59.0
187,46,69.0
188,46,83.0
189,46,97.0
190,45,113.0
191,46,131.0
192,46,150.0
193,46,171.0
194,45,193.0
195,44,183.0
196,44,172.0
197,44,160.0
198,43,148.0
199,42,136.0
200,41,124.0
201,40,126.0
202,39,129.0
203,39,116.0
204,38,102.0
205,38,90.0
206,39,79.0
207,39,67.0
208,39,81.0
209,40,96.0
210,41,106.0
211,42,117.0
212,41,130.0
213,41,144.0
214,40,160.0
215,40,174.0
216,42,192.0
217,43,212.0
218,43,232.0
219,43,211.0
220,45,193.0
221,46,161.0
222,47,136.0
223,47,111.0
224,47,110.0
225,47,99.0
226,47,84.0
227,47,76.0
228,48,69.0
229,48,65.0
230,47,68.0
231,47,83.0
232,48,86.0
233,49,92.0
234,49,104.0
235,48,121.0
236,48,141.0
237,48,163.0
238,47,185.0
239,47,208.0
240,46,232.0
241,45,257.0
242,45,282.0
243,45,265.0
244,43,246.0
245,43,229.0
246,41,211.0
247,41,214.0
248,40,213.0
249,40,192.0
250,40,174.0
251,40,174.0
252,40,171.0
253,41,150.0
254,42,127.0
255,42,104.0
256,42,103.0
257,43,119.0
258,42,118.0
259,43,136.0
260,43,155.0
261,44,176.0
262,44,188.0
263,44,203.0
264,44,217.0
265,44,234.0
266,45,253.0
267,46,274.0
268,46,302.0
269,47,327.0
270,48,353.0
271,49,379.0
272,49,345.0
273,49,307.0
274,49,267.0
275,49,230.0
276,50,196.0
277,50,190.0
278,49,160.0
279,48,148.0
280,48,146.0
281,48,129.0
282,48,117.0
283,48,121.0
284,48,126.0
285,49,127.0
286,49,142.0
287,49,166.0
288,49,192.0
289,50,222.0
290,50,253.0
291,50,286.0
292,50,320.0
293,49,355.0
294,49,392.0
295,49,429.0
296,49,466.0
297,48,503.0
298,48,540.0
299,48,577.0
300,47,614.0
301,47,651.0
302,47,688.0
303,46,667.0
304,47,617.0
305,47,566.0
306,46,517.0
307,46,468.0
308,46,468.0
309,46,415.0
310,45,360.0
311,44,308.0
312,44,252.0
313,44,194.0
314,45,184.0
315,45,127.0
316,45,92.0
317,45,81.0
318,45,95.0
319,46,110.0
320,46,126.0
321,45,143.0
322,45,162.0
323,45,183.0
324,45,206.0
325,44,228.0
326,43,252.0
327,42,277.0
328,43,302.0
329,44,328.0
330,44,355.0
331,44,383.0
332,44,412.0
333,44,442.0
334,44,473.0
335,44,506.0
336,44,539.0
337,44,572.0
338,44,542.0
339,43,512.0
340,44,460.0
341,43,410.0
342,43,361.0
343,42,308.0
344,43,283.0
345,42,283.0
346,42,250.0
347,42,201.0
348,42,155.0
349,43,107.0
350,43,60.0
351,43,57.0
352,43,45.0
353,44,53.0
354,44,65.0
355,43,79.0
356,44,95.0
357,45,114.0
358,46,132.0
359,46,152.0
360,44,174.0
361,43,197.0
362,45,221.0
363,44,246.0
364,44,272.0
365,43,299.0
366,43,328.0
367,44,358.0
368,44,388.0
369,43,419.0
370,43,451.0
371,43,483.0
372,45,516.0
373,45,468.0
374,44,421.0
375,44,378.0
376,44,335.0
377,45,341.0
378,45,300.0
379,45,279.0
380,44,241.0
381,45,206.0
382,45,170.0
383,44,136.0
384,44,122.0
385,44,114.0
386,45,112.0
387,45,88.0
388,45,105.0
389,44,122.0
390,45,142.0
391,45,163.0
392,44,178.0
393,44,197.0
394,45,217.0
395,44,239.0
396,44,262.0
397,45,291.0
398,45,315.0
399,46,340.0
400,47,365.0
401,48,392.0
402,48,420.0
403,49,449.0
404,49,481.0
405,49,513.0
406,50,485.0
407,49,457.0
408,49,412.0
409,49,371.0
410,49,355.0
411,49,313.0
412,48,300.0
413,48,258.0
414,47,235.0
415,47,206.0
