time,cars,wait,queue
0,0,0.0,0
1,0,0.0,0
2,0,0.0,0
3,1,0.0,1
4,1,0.0,0
5,1,0.0,0
6,1,0.0,0
7,1,0.0,0
8,2,0.0,1
9,2,0.0,0
10,2,0.0,0
11,2,0.0,0
12,4,0.0,2
13,4,1.0,1
14,4,0.0,0
15,4,0.0,0
16,4,0.0,0
17,4,0.0,0
18,5,0.0,1
19,5,0.0,0
20,5,0.0,0
21,6,0.0,1
22,6,0.0,0
23,7,0.0,1
24,7,0.0,0
25,8,0.0,1
26,9,0.0,2
27,9,0.0,0
28,10,0.0,1
29,10,0.0,0
30,11,1.0,1
31,12,0.0,1
32,12,0.0,1
33,13,0.0,1
34,13,0.0,0
35,15,0.0,2
36,16,1.0,2
37,16,2.0,1
38,17,3.0,2
39,18,4.0,2
40,18,5.0,2
41,19,7.0,3
42,20,9.0,3
43,20,12.0,3
44,20,17.0,5
45,20,22.0,4
46,20,27.0,4
47,20,32.0,5
48,20,38.0,5
49,20,45.0,6
50,20,53.0,8
51,21,61.0,8
52,22,72.0,11
53,22,83.0,10
54,22,94.0,11
55,22,106.0,11
56,22,120.0,13
57,23,120.0,14
58,25,122.0,14
59,26,126.0,12
60,26,132.0,11
61,25,97.0,9
62,25,70.0,7
63,24,47.0,7
64,25,31.0,7
65,25,21.0,5
66,25,14.0,5
67,25,18.0,5
68,26,16.0,6
69,26,15.0,5
70,26,16.0,4
71,26,21.0,5
72,26,26.0,5
73,26,31.0,6
74,26,37.0,6
75,26,43.0,7
76,25,51.0,7
77,27,61.0,11
78,27,71.0,9
79,26,82.0,10
80,26,94.0,11
81,26,107.0,13
82,25,120.0,12
83,25,134.0,15
84,25,139.0,13
85,25,143.0,13
86,25,147.0,11
87,25,152.0,12
88,26,163.0,12
89,26,174.0,12
90,27,186.0,13
91,27,155.0,10
92,27,138.0,9
93,26,122.0,9
94,26,106.0,9
95,26,91.0,10
96,27,78.0,10
97,27,87.0,9
98,27,75.0,9
99,28,65.0,9
100,27,58.0,9
101,26,54.0,9
102,26,51.0,8
103,26,51.0,8
104,27,62.0,11
105,27,74.0,11
106,27,86.0,11
107,27,91.0,15
108,28,96.0,14
109,28,101.0,14
110,28,108.0,13
111,27,114.0,12
112,28,122.0,14
113,29,129.0,14
114,30,138.0,15
115,30,146.0,13
116,30,155.0,13
117,31,168.0,14
118,32,178.0,15
119,33,188.0,14
120,33,199.0,13
121,33,165.0,11
122,32,140.0,10
123,33,122.0,10
124,32,105.0,9
125,33,89.0,10
126,32,75.0,9
127,32,64.0,9
128,32,73.0,10
129,33,66.0,10
130,32,61.0,10
131,33,60.0,12
132,34,73.0,13
133,34,73.0,12
134,35,73.0,12
135,35,86.0,12
136,34,102.0,15
137,35,118.0,17
138,35,136.0,17
139,35,152.0,17
140,35,170.0,17
141,34,188.0,17
142,36,208.0,21
143,36,228.0,20
144,35,249.0,20
145,35,270.0,20
146,36,293.0,23
147,36,316.0,23
148,36,339.0,23
149,36,362.0,22
150,36,385.0,22
151,35,354.0,21
152,36,303.0,22
153,37,255.0,18
154,37,215.0,15
155,36,182.0,14
156,37,150.0,13
157,36,119.0,12
158,36,120.0,15
159,36,98.0,12
160,36,77.0,9
161,38,65.0,11
162,38,50.0,9
163,39,38.0,10
164,39,51.0,12
165,40,62.0,13
166,41,73.0,13
167,41,86.0,12
168,40,102.0,15
169,40,120.0,17
170,41,139.0,20
171,42,160.0,21
172,41,182.0,21
173,39,205.0,22
174,39,230.0,24
175,40,255.0,25
176,41,281.0,26
177,40,307.0,25
178,40,335.0,26
179,40,363.0,27
180,41,392.0,28
181,41,352.0,26
182,40,307.0,25
183,41,266.0,24
184,41,230.0,21
185,42,190.0,18
186,42,167.0,17
187,42,145.0,15
188,43,113.0,14
189,43,88.0,14
190,44,87.0,14
191,44,75.0,11
192,45,67.0,13
193,45,58.0,11
194,45,71.0,12
195,45,87.0,15
196,44,106.0,19
197,44,125.0,19
198,44,142.0,21
199,44,161.0,23
200,43,181.0,23
201,42,203.0,24
202,43,226.0,26
203,43,251.0,25
204,43,277.0,26
205,43,303.0,26
206,43,332.0,28
207,45,359.0,29
208,46,388.0,29
209,46,418.0,29
210,46,449.0,30
211,46,428.0,29
212,47,407.0,28
213,48,371.0,29
214,47,335.0,27
215,47,299.0,26
216,46,283.0,23
217,45,246.0,23
218,46,206.0,24
219,46,192.0,21
220,45,150.0,18
221,45,124.0,17
222,46,113.0,19
223,46,83.0,15
224,46,75.0,13
225,46,81.0,12
226,46,89.0,12
227,46,103.0,15
228,46,119.0,16
229,47,136.0,18
230,47,153.0,18
231,48,170.0,19
232,47,189.0,19
233,47,210.0,22
234,46,233.0,22
235,46,257.0,23
236,46,282.0,26
237,45,308.0,25
238,45,336.0,27
239,44,365.0,29
240,45,394.0,29
241,44,371.0,27
242,44,349.0,26
243,44,314.0,24
244,45,278.0,24
245,45,244.0,22
246,45,236.0,20
247,44,201.0,19
248,44,170.0,18
249,44,143.0,21
250,44,119.0,18
251,44,117.0,18
252,44,137.0,20
253,44,94.0,15
254,45,99.0,19
255,46,108.0,20
256,46,116.0,19
257,46,127.0,21
258,46,138.0,22
259,47,152.0,23
260,47,167.0,21
261,46,190.0,23
262,46,208.0,24
263,46,226.0,24
264,48,246.0,28
265,48,266.0,26
266,48,287.0,25
267,48,314.0,26
268,49,336.0,28
269,50,358.0,28
270,50,386.0,27
271,49,352.0,25
272,48,318.0,24
273,48,285.0,23
274,49,252.0,22
275,48,219.0,18
276,48,211.0,20
277,48,180.0,19
278,47,153.0,18
279,48,154.0,19
280,48,132.0,19
281,48,126.0,19
282,48,108.0,20
283,49,91.0,19
284,49,98.0,19
285,49,112.0,19
286,48,133.0,20
287,48,157.0,24
288,49,184.0,27
289,50,211.0,28
290,50,241.0,29
291,50,273.0,31
292,50,306.0,32
293,49,342.0,35
294,50,379.0,37
295,49,416.0,36
296,49,453.0,36
297,48,490.0,36
298,48,527.0,36
299,48,564.0,37
300,48,601.0,36
301,48,587.0,34
302,47,573.0,32
303,47,531.0,32
304,47,490.0,32
305,47,449.0,29
306,46,405.0,27
307,46,405.0,28
308,46,355.0,27
309,46,304.0,24
310,45,251.0,20
311,45,200.0,18
312,45,151.0,16
313,46,145.0,16
314,46,113.0,13
315,46,105.0,14
316,46,97.0,14
317,47,115.0,18
318,47,133.0,17
319,47,153.0,20
320,47,175.0,21
321,47,198.0,22
322,48,222.0,25
323,48,249.0,26
324,47,276.0,26
325,47,306.0,29
326,48,337.0,32
327,49,369.0,32
328,48,402.0,32
329,48,435.0,32
330,48,470.0,35
331,48,452.0,33
332,47,435.0,33
333,47,398.0,31
334,46,360.0,29
335,47,326.0,30
336,46,310.0,26
337,46,272.0,24
338,46,271.0,26
339,46,230.0,23
340,45,193.0,22
341,45,157.0,18
342,45,123.0,14
343,46,103.0,15
344,46,86.0,12
345,46,100.0,14
346,46,98.0,14
347,47,97.0,15
348,46,113.0,15
349,46,130.0,16
350,46,149.0,18
351,47,170.0,21
352,47,193.0,23
353,47,216.0,24
354,46,242.0,25
355,46,270.0,28
356,46,300.0,29
357,46,331.0,31
358,47,362.0,31
359,48,394.0,32
360,48,426.0,31
361,47,409.0,31
362,46,374.0,31
363,45,341.0,31
364,46,309.0,30
365,46,276.0,27
366,46,263.0,24
367,45,228.0,23
368,45,214.0,21
369,45,180.0,19
370,45,163.0,18
371,45,131.0,16
372,45,115.0,15
373,45,105.0,14
374,46,89.0,14
375,46,89.0,13
376,46,89.0,13
377,46,105.0,15
378,46,123.0,18
379,48,140.0,19
380,48,159.0,19
381,47,179.0,20
382,47,201.0,21
383,45,225.0,23
384,46,250.0,26
385,46,276.0,25
386,46,303.0,26
387,46,331.0,26
388,45,350.0,30
389,46,366.0,31
390,47,383.0,29
391,47,346.0,25
392,46,313.0,24
393,47,281.0,23
394,48,257.0,24
395,48,226.0,22
396,48,219.0,21
397,48,190.0,22
398,49,163.0,21
399,49,165.0,21
400,49,159.0,20
401,49,136.0,18
402,49,113.0,16
403,50,98.0,17
404,48,104.0,15
405,48,123.0,18
406,48,145.0,21
407,48,169.0,23
408,47,194.0,25
409,47,220.0,25
410,45,248.0,27
411,45,277.0,29
412,45,307.0,29
413,46,337.0,30
414,45,369.0,31
415,45,401.0,31
416,44,434.0,32
417,43,468.0,33
418,44,502.0,34
419,44,536.0,34
420,44,571.0,34
421,43,548.0,32
422,43,506.0,30
423,43,464.0,29
424,43,420.0,26
425,42,402.0,26
426,42,355.0,23
