time,cars,wait,queue
318,50,74.0,13
319,50,78.0,13
320,49,84.0,14
321,49,100.0,16
322,49,92.0,16
323,48,84.0,14
324,49,79.0,16
325,49,73.0,15
326,49,66.0,14
327,48,63.0,15
328,47,71.0,17
329,46,77.0,15
330,45,74.0,16
331,46,71.0,16
332,45,67.0,13
333,45,65.0,13
334,46,62.0,14
335,46,77.0,15
336,47,92.0,17
337,47,85.0,15
338,46,80.0,15
339,47,72.0,15
340,48,66.0,15
341,49,59.0,12
342,48,56.0,12
343,46,62.0,13
344,46,58.0,16
345,46,63.0,16
346,46,60.0,15
347,46,73.0,19
348,46,78.0,17
349,46,86.0,18
350,47,99.0,20
351,47,117.0,19
352,48,117.0,21
353,49,117.0,20
354,49,120.0,20
355,50,125.0,23
356,50,116.0,22
357,50,110.0,21
358,50,123.0,25
359,50,117.0,23
360,49,119.0,24
361,49,106.0,24
362,49,96.0,23
363,49,86.0,18
364,48,81.0,19
365,48,91.0,19
366,48,94.0,16
367,49,78.0,16
368,49,65.0,14
369,49,48.0,12
370,49,42.0,12
371,49,43.0,14
372,48,42.0,12
373,49,48.0,16
374,49,53.0,14
375,49,72.0,19
376,47,80.0,17
377,47,89.0,18
378,47,99.0,20
379,47,117.0,19
380,48,131.0,21
381,48,156.0,24
382,48,146.0,25
383,48,134.0,25
384,48,126.0,26
385,48,115.0,25
386,48,105.0,22
387,47,95.0,19
388,48,87.0,20
389,48,105.0,19
390,48,96.0,19
391,48,88.0,18
392,48,79.0,16
393,49,80.0,17
394,49,70.0,13
395,49,73.0,13
396,49,82.0,14
397,48,74.0,15
398,49,70.0,16
399,48,67.0,15
400,48,62.0,14
401,48,67.0,14
402,47,66.0,17
403,47,76.0,18
404,46,78.0,19
405,45,79.0,17
406,46,80.0,18
407,46,98.0,17
408,46,101.0,18
409,47,106.0,19
410,47,110.0,17
411,48,127.0,18
412,47,117.0,21
413,48,108.0,22
414,48,102.0,19
415,48,94.0,17
416,48,87.0,18
417,47,87.0,19
418,47,103.0,20
419,47,104.0,22
420,48,102.0,20
421,47,104.0,21
422,47,103.0,19
423,47,105.0,18
424,48,111.0,19
425,49,132.0,21
426,49,155.0,22
427,49,153.0,23
428,49,140.0,25
429,49,128.0,21
430,48,119.0,23
431,48,123.0,26
432,49,135.0,26
433,48,141.0,26
434,48,145.0,23
435,47,135.0,22
436,47,128.0,21
437,48,130.0,23
438,48,131.0,21
439,47,138.0,21
440,47,130.0,19
441,47,116.0,17
442,48,113.0,20
443,48,88.0,19
444,47,80.0,19
445,47,74.0,18
446,48,68.0,20
447,49,70.0,19
448,49,68.0,20
449,49,72.0,17
450,48,69.0,18
451,48,66.0,18
452,48,69.0,16
453,48,71.0,14
454,48,75.0,16
455,49,88.0,17
456,49,102.0,16
457,49,94.0,15
458,48,86.0,14
459,48,82.0,16
460,48,77.0,14
461,49,74.0,16
462,48,83.0,16
463,47,80.0,15
464,46,77.0,15
465,46,78.0,16
466,45,84.0,18
467,45,94.0,18
468,45,90.0,16
469,45,90.0,15
470,45,96.0,15
471,46,113.0,18
472,46,103.0,16
473,47,95.0,17
474,47,85.0,14
475,47,75.0,11
476,48,66.0,13
477,49,69.0,14
478,50,65.0,15
479,50,60.0,14
480,50,68.0,16
481,50,76.0,17
482,48,76.0,18
483,48,81.0,17
484,48,90.0,18
485,48,99.0,20
486,48,114.0,23
487,48,102.0,20
488,48,90.0,19
489,49,84.0,21
490,49,78.0,20
491,50,78.0,20
492,49,71.0,17
493,49,67.0,18
494,49,65.0,18
495,50,73.0,18
496,50,76.0,17
497,50,83.0,18
498,50,82.0,16
499,50,82.0,14
