time,cars,wait,queue
0,3,0.0,3
1,3,0.0,0
2,3,0.0,0
3,3,0.0,0
4,4,0.0,1
5,4,1.0,1
6,4,0.0,0
7,4,0.0,0
8,4,0.0,0
9,6,0.0,2
10,6,0.0,0
11,7,0.0,1
12,7,0.0,0
13,8,0.0,1
14,8,0.0,0
15,8,0.0,0
16,10,0.0,2
17,10,2.0,2
18,10,4.0,2
19,10,6.0,2
20,12,8.0,4
21,12,10.0,2
22,12,12.0,2
23,12,14.0,2
24,11,16.0,2
25,11,19.0,3
26,12,22.0,4
27,12,25.0,3
28,12,29.0,5
29,12,34.0,5
30,12,39.0,5
31,13,14.0,4
32,12,6.0,3
33,15,2.0,4
34,15,3.0,1
35,15,5.0,1
36,16,8.0,3
37,16,9.0,1
38,16,13.0,3
39,16,18.0,4
40,18,23.0,6
41,19,29.0,5
42,19,27.0,4
43,19,27.0,4
44,20,27.0,5
45,22,33.0,7
46,22,39.0,5
47,22,45.0,6
48,22,52.0,6
49,21,60.0,7
50,22,69.0,9
51,22,78.0,8
52,22,87.0,8
53,22,96.0,8
54,23,106.0,10
55,24,116.0,10
56,24,126.0,9
57,24,137.0,10
58,23,148.0,10
59,23,160.0,12
60,23,172.0,11
61,23,118.0,12
62,23,71.0,8
63,24,38.0,7
64,24,19.0,5
65,24,10.0,4
66,23,4.0,2
67,23,7.0,3
68,24,10.0,5
69,26,14.0,6
70,26,19.0,5
71,26,24.0,5
72,26,30.0,6
73,27,37.0,8
74,28,45.0,9
75,29,53.0,9
76,29,61.0,8
77,27,69.0,8
78,28,77.0,9
79,27,85.0,8
80,28,94.0,11
81,27,103.0,9
82,26,113.0,9
83,26,123.0,9
84,26,133.0,11
85,27,143.0,10
86,26,155.0,11
87,25,167.0,11
88,27,179.0,13
89,28,192.0,14
90,28,204.0,12
91,27,155.0,12
92,27,127.0,9
93,28,105.0,9
94,29,85.0,6
95,29,69.0,8
96,29,51.0,6
97,29,34.0,6
98,31,22.0,7
99,32,29.0,8
100,32,28.0,7
101,32,38.0,8
102,32,42.0,8
103,33,44.0,9
104,35,51.0,12
105,35,59.0,10
106,34,68.0,10
107,34,80.0,12
108,34,94.0,13
109,36,108.0,16
110,36,124.0,16
111,36,141.0,16
112,36,161.0,19
113,38,181.0,21
114,39,203.0,22
115,39,223.0,20
116,39,244.0,20
117,40,268.0,24
118,41,293.0,26
